0	0.000000000	0.000000
10	0.003500912	2.389659
20	0.003274394	2.235042
30	0.002778318	1.896429
40	0.002451629	1.673438
50	0.002243438	1.531330
60	0.002039976	1.392451
70	0.001937043	1.322191
80	0.001843254	1.258172
90	0.001749924	1.194467
100	0.001701842	1.161646
110	0.001651071	1.126991
120	0.001611401	1.099913
130	0.001580547	1.078853
140	0.001566612	1.069341
150	0.001555193	1.061547
160	0.001567306	1.069815
170	0.001550915	1.058627
180	0.001551975	1.059350
190	0.001559295	1.064347
200	0.001565243	1.068406
210	0.001572933	1.073655
220	0.001565071	1.068289
230	0.001586604	1.082987
240	0.001574673	1.074843
250	0.001568743	1.070795
260	0.001567364	1.069854
270	0.001541198	1.051994
280	0.001540626	1.051604
290	0.001532470	1.046036
300	0.001535384	1.048026
310	0.001526766	1.042143
320	0.001537356	1.049372
330	0.001521544	1.038578
340	0.001505476	1.027611
350	0.001497587	1.022226
360	0.001481819	1.011462
370	0.001464364	0.999548
380	0.001456079	0.993893
390	0.001450351	0.989984
400	0.001447891	0.988304
410	0.001452076	0.991161
420	0.001448259	0.988555
430	0.001458999	0.995886
440	0.001463739	0.999122
450	0.001466911	1.001287
460	0.001460996	0.997249
470	0.001456643	0.994278
480	0.001458561	0.995587
490	0.001443115	0.985044
500	0.001444120	0.985730
510	0.001447713	0.988183
520	0.001447739	0.988201
530	0.001462071	0.997983
540	0.001468793	1.002572
550	0.001464588	0.999701
560	0.001467429	1.001641
570	0.001471035	1.004102
580	0.001464399	0.999572
590	0.001455612	0.993574
600	0.001459880	0.996488
610	0.001452920	0.991737
620	0.001458437	0.995503
630	0.001462626	0.998362
640	0.001471016	1.004089
650	0.001460708	0.997053
660	0.001454931	0.993109
670	0.001450791	0.990283
680	0.001449457	0.989373
690	0.001457771	0.995048
700	0.001452313	0.991322
710	0.001459897	0.996499
720	0.001455494	0.993494
730	0.001472292	1.004960
740	0.001475128	1.006896
750	0.001471156	1.004185
760	0.001476615	1.007911
770	0.001476947	1.008137
780	0.001479039	1.009565
790	0.001470783	1.003930
800	0.001468732	1.002530
810	0.001462268	0.998117
820	0.001455365	0.993406
830	0.001456892	0.994448
840	0.001453213	0.991937
850	0.001459510	0.996235
860	0.001459058	0.995927
870	0.001472374	1.005015
880	0.001482679	1.012050
890	0.001479695	1.010013
900	0.001486350	1.014556
910	0.001476465	1.007809
920	0.001474795	1.006668
930	0.001467548	1.001722
940	0.001463830	0.999184
950	0.001468419	1.002316
960	0.001464385	0.999562
970	0.001462447	0.998240
980	0.001453744	0.992299
990	0.001468985	1.002702
1000	0.001452718	0.991599
